extracted_answer,serial_number
"{
  ""columns"": [""CGPA""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",386
"{""columns"": [""Thailand"", ""India""], ""methods"": [""Kolmogorov-Smirnov Test""]}",387
"{
  ""columns"": [""Value"", ""Release Clause""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",388
"{
  ""columns"": [""India""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",389
"{
  ""columns"": [""Bangladesh""],
  ""methods"": [""Standard Deviation""]
}",390
"{
  ""columns"": [""Education"", ""Response""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",391
"{
  ""columns"": [""avg_glucose_level"", ""bmi""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",392
"{
  ""columns"": [""runtime""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",393
"{
  ""columns"": [""studytime"", ""Dalc""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",394
"{
  ""columns"": [""SquareFeet""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",395
"{
  ""columns"": [""Myanmar""],
  ""methods"": [""Standard Deviation""]
}",396
"{
  ""columns"": [""CreditScore""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",397
"{
  ""columns"": [""internet"", ""romantic"", ""Pstatus""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",398
"{
  ""columns"": [""Terrorist attacks""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",399
"{
  ""columns"": [""MntSweetProducts""],
  ""methods"": [""Range""]
}",400
"{
  ""columns"": [""ALCOHOL CONSUMING"", ""CHEST PAIN"", ""FATIGUE ""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",401
"{
  ""columns"": [""Average Tree Price"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",402
"{
  ""columns"": [""MntSweetProducts"", ""NumCatalogPurchases"", ""MntFishProducts""],
  ""methods"": [""Partial Correlation Coefficient""]
}",403
"{
  ""columns"": [""RestingBP""],
  ""methods"": [""Skewness""]
}",404
"{
  ""columns"": [""Height_m""],
  ""methods"": [""Kolmogorov-Smirnov Test for Uniform distribution""]
}",405
"{
  ""columns"": [""family_history_with_overweight"", ""CAEC""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",406
"{
  ""columns"": [""ALCOHOL CONSUMING"", ""COUGHING"", ""SMOKING""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",407
"{
  ""columns"": [""Vietnam"", ""Indonesia""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",408
"{
  ""columns"": [""MntFishProducts"", ""NumStorePurchases"", ""Recency""],
  ""methods"": [""Partial Correlation Coefficient""]
}",409
"{
  ""columns"": [""FCVC"", ""CH2O"", ""TUE""],
  ""methods"": [""Partial Correlation Coefficient""]
}",410
"{""columns"": [""Thailand""], ""methods"": [""Range""]}",411
"{
  ""columns"": [""family_history_with_overweight"", ""CAEC""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",412
"{
  ""columns"": [""Rest of World""],
  ""methods"": [""Median""]
}",413
"{
  ""columns"": [""Brazil""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",414
"{
  ""columns"": [""NObeyesdad"", ""SCC""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",415
"{
  ""columns"": [""SMOKE"", ""NObeyesdad""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",416
"{
  ""columns"": [""Attack method: Unarmed Assault""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",417
"{
  ""columns"": [""Pakistan"", ""Indonesia""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",418
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",419
"{
  ""columns"": [""Dalc"", ""goout"", ""freetime""],
  ""methods"": [""Partial Correlation Coefficient""]
}",420
"{
  ""columns"": [""MntSweetProducts"", ""NumCatalogPurchases""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",421
"{
  ""columns"": [""FAVC"", ""NObeyesdad""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",422
"{
  ""columns"": [""TOEFL Score"", ""SOP""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",423
"{
  ""columns"": [""Attack method: Bombing/Explosion""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",424
"{
  ""columns"": [""goout"", ""Dalc"", ""traveltime""],
  ""methods"": [""Partial Correlation Coefficient""]
}",425
"{
  ""columns"": [""United States"", ""Myanmar""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",426
"{
  ""columns"": [""F2010""],
  ""methods"": [""Standard Deviation""]
}",427
"{
  ""columns"": [""freetime"", ""health""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",428
"{
  ""columns"": [""SquareFeet""],
  ""methods"": [""Median""]
}",429
"{""columns"": [""Dream Weight"", ""Duration""], ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",430
"{""columns"": [""kms_driven"", ""engine(cc)""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",431
"{
  ""columns"": [""DEC""],
  ""methods"": [""Range""]
}",432
"{
  ""columns"": [""freetime""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",433
"{""columns"": [""Age"", ""NCP""], ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]}",434
"{
  ""columns"": [""SquareFeet"", ""Bathrooms""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance"", ""Mood Variance Test""]
}",435
"{
  ""columns"": [""SOP""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",436
"{""columns"": [""SEP""], ""methods"": [""Kurtosis""]}",437
"{
  ""columns"": [""Number of trees sold"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",438
"{
  ""columns"": [""Total Program Attendees"", ""Total Cardholders"", ""Total Library Visitors""],
  ""methods"": [""Partial Correlation Coefficient""]
}",439
"{
  ""columns"": [""Bangladesh"", ""India""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",440
"{""columns"": [""Age""], ""methods"": [""Descriptive Statistics"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",441
"{
  ""columns"": [""CAEC"", ""family_history_with_overweight""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",442
"{
  ""columns"": [""North America""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",443
"{
  ""columns"": [""Nigeria"", ""China""],
  ""methods"": [""F-Test for Variance""]
}",444
"{
  ""columns"": [""Philippines"", ""Vietnam""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",445
"{
  ""columns"": [""Number of trees sold"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",446
"{
  ""columns"": [""age"", ""famrel""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",447
"{
  ""columns"": [""Recency"", ""Kidhome"", ""Income""],
  ""methods"": [""Partial Correlation Coefficient""]
}",448
"{
  ""columns"": [""Pstatus"", ""nursery"", ""address""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",449
"{
  ""columns"": [""writing score""],
  ""methods"": [""Quartile""]
}",450
"{
  ""columns"": [""Death Age : 21-50"", ""Attack method: Assassination"", ""Attack method: Hostage Taking (Barricade Incident)""],
  ""methods"": [""Partial Correlation Coefficient""]
}",451
"{""columns"": [""Recency""], ""methods"": [""Quartile""]}",452
"{
  ""columns"": [""avg_satisfaction""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",453
"{
  ""columns"": [""Hour""],
  ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]
}",454
"{
  ""columns"": [""Terrorist Death Type : Suicide""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",455
"{""columns"": [""Indonesia"", ""Bangladesh""], ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]}",456
"{
  ""columns"": [""Attack method: Hostage Taking (Barricade Incident)"", ""Death Age : 6-10""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",457
"{""columns"": [""SOP""], ""methods"": [""Range""]}",458
"{
  ""columns"": [""Preferred Foot"", ""Body Type""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",459
"{
  ""columns"": [""heart_disease"", ""work_type""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",460
"{
  ""columns"": [""Average Tree Price""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",461
"{
  ""columns"": [""Age"", ""Overall""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",462
"{
  ""columns"": [""Age""],
  ""methods"": [""Quartile""]
}",463
"{""columns"": [""math score""], ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]}",464
"{
  ""columns"": [""reason"", ""higher""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",465
"{
  ""columns"": [""MntWines""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",466
"{
  ""columns"": [""WHEEZING"", ""CHEST PAIN"", ""ANXIETY""],
  ""methods"": [""Mantel-Haenszel Test""]
}",467
"{
  ""columns"": [""Wage"", ""Age"", ""Potential""],
  ""methods"": [""Partial Correlation Coefficient""]
}",468
"{""columns"": [""MntFruits"", ""Z_Revenue""], ""methods"": [""Kolmogorov-Smirnov Test""]}",469
"{
  ""columns"": [""F2019""],
  ""methods"": [""Mean""]
}",470
"{
  ""columns"": [""mileage(kmpl)"", ""torque(Nm)""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",471
"{""columns"": [""Vietnam"", ""India""], ""methods"": [""F-Test for Variance"", ""Bartlett Test"", ""Levene Test""]}",472
"{
  ""columns"": [""Actual Weight"", ""BMI""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",473
"{
  ""columns"": [""SMOKE"", ""NObeyesdad""],
  ""methods"": [""Chi-square Independence Test""]
}",474
"{""columns"": [""math score""], ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",475
"{
  ""columns"": [""Kidhome"", ""Teenhome"", ""NumDealsPurchases""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",476
"{
  ""columns"": [""Terrorist Death Type : Suicide""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",477
"{
  ""columns"": [""Total"", ""Attack""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",478
"{""columns"": [""Number of Ratings""], ""methods"": [""Kurtosis""]}",479
"{
  ""columns"": [""GENDER"", ""PEER_PRESSURE"", ""SMOKING""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",480
"{
  ""columns"": [""Pstatus"", ""activities""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",481
"{
  ""columns"": [""Weight"", ""Release Clause""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",482
"{
  ""columns"": [""Gender"", ""MTRANS""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",483
"{
  ""columns"": [""SWALLOWING DIFFICULTY"", ""CHEST PAIN""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",484
"{
  ""columns"": [""Calories Burn"", ""Heart Rate""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",485
"{
  ""columns"": [""Geography"", ""Exited""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",486
"{
  ""columns"": [""std_satisfaction"", ""median_income""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",487
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",488
"{
  ""columns"": [""Medu"", ""G1""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",489
"{
  ""columns"": [""kms_driven"", ""mileage(kmpl)""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",490
"{
  ""columns"": [""Death Age : 11-20""],
  ""methods"": [""Range""]
}",491
"{
  ""columns"": [""Recency"", ""MntFruits""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",492
"{
  ""columns"": [""Nigeria"", ""India""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",493
"{
  ""columns"": [""WHEEZING"", ""SHORTNESS OF BREATH"", ""ANXIETY""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",494
"{
  ""columns"": [""Total Library Visitors"", ""# of Homeless Individuals Served at The Source""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",495
"{
  ""columns"": [""atlantaretail""],
  ""methods"": [""Kurtosis""]
}",496
"{""columns"": [""Newspaper Ad Budget ($)""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",497
"{
  ""columns"": [""Cholesterol""],
  ""methods"": [""Median""]
}",498
"{""columns"": [""LOR ""], ""methods"": [""Kurtosis""]}",499
"{
  ""columns"": [""NCP"", ""CH2O""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",500
"{
  ""columns"": [""RestingBP"", ""Cholesterol""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",501
"{
  ""columns"": [""traveltime"", ""G3"", ""age""],
  ""methods"": [""Partial Correlation Coefficient""]
}",502
"{
  ""columns"": [""Death Age 100+""],
  ""methods"": [""Skewness""]
}",503
"{
  ""columns"": [""Average Tree Price"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",504
"{
  ""columns"": [""Pakistan"", ""Myanmar""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",505
"{
  ""columns"": [""Age""],
  ""methods"": [""Standard Deviation""]
}",506
"{
  ""columns"": [""Total eMedia Circulation""],
  ""methods"": [""Quartile""]
}",507
"{
  ""columns"": [""goout""],
  ""methods"": [""Standard Deviation""]
}",508
"{
  ""columns"": [""Recency"", ""Z_Revenue""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",509
"{
  ""columns"": [""ALCOHOL CONSUMING"", ""LUNG_CANCER"", ""GENDER""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",510
"{
  ""columns"": [""North America"", ""Japan""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",511
"{""columns"": [""median_income""], ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",512
"{
  ""columns"": [""Y house price of unit area""],
  ""methods"": [""Range""]
}",513
"{
  ""columns"": [""reason"", ""internet""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",514
"{
  ""columns"": [""ALLERGY"", ""WHEEZING"", ""ANXIETY""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",515
"{""columns"": [""CGPA""], ""methods"": [""Median""]}",516
"{
  ""columns"": [""Thailand"", ""Bangladesh""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",517
"{""columns"": [""HP"", ""Attack"", ""Defense"", ""Sp_Atk"", ""Sp_Def"", ""Speed""], ""methods"": [""Range""]}",518
"{
  ""columns"": [""ever_married"", ""smoking_status""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",519
"{
  ""columns"": [""FAVC""],
  ""methods"": [""Mode""]
}",520
"{
  ""columns"": [""PEER_PRESSURE"", ""CHRONIC DISEASE""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",521
"{
  ""columns"": [""Potential"", ""Special""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",522
"{
  ""columns"": [""Average Tree Price"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",523
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",524
"{""columns"": [""Dream Weight"", ""BMI""], ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]}",525
"{""columns"": [""avg_income"", ""GDP""], ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",526
"{
  ""columns"": [""Fedu"", ""Walc""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",527
"{""columns"": [""adjusted_satisfaction"", ""income_inequality""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",528
"{
  ""columns"": [""Work Rate"", ""Preferred Foot""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",529
"{
  ""columns"": [""ALCOHOL CONSUMING"", ""ALLERGY"", ""ANXIETY""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",530
"{
  ""columns"": [""Research Quality Score"", ""International Outlook""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",531
"{""columns"": [""CGPA""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",532
"{
  ""columns"": [""higher"", ""reason""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",533
"{
  ""columns"": [""# of Individuals Assisted in Pursuing Citizenship""],
  ""methods"": [""Median""]
}",534
"{
  ""columns"": [""Income"", ""Z_CostContact""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",535
"{
  ""columns"": [""Terrorist attacks"", ""Terrorism deaths"", ""Attack method: Hijacking"", ""Terrorist Death Type : Killed""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Partial Correlation Coefficient""]
}",536
"{
  ""columns"": [""reason"", ""internet""],
  ""methods"": [""Chi-square Independence Test""]
}",537
"{
  ""columns"": [""Pakistan"", ""Bangladesh""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",538
"{
  ""columns"": [""ALLERGY"", ""SHORTNESS OF BREATH""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",539
"{
  ""columns"": [""MntSweetProducts""],
  ""methods"": [""Median""]
}",540
"{
  ""columns"": [""nursery"", ""internet"", ""famsize""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",541
"{
  ""columns"": [""Year"", ""Nigeria"", ""Myanmar""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",542
"{
  ""columns"": [""Nationality""],
  ""methods"": [""Mode""]
}",543
"{
  ""columns"": [""Industry Score"", ""International Outlook""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",544
"{
  ""columns"": [""AUG"", ""ANU""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",545
"{
  ""columns"": [""Speed""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",546
"{
  ""columns"": [""Special"", ""Height""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",547
"{
  ""columns"": [""FATIGUE "", ""SHORTNESS OF BREATH"", ""SMOKING""],
  ""methods"": [""Mantel-Haenszel Test""]
}",548
"{
  ""columns"": [""Brazil"", ""Indonesia""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",549
"{""columns"": [""Sales""], ""methods"": [""Range"", ""Quartile"", ""Standard Deviation"", ""Variance""]}",550
"{
  ""columns"": [""AUG"", ""ANU"", ""JUL""],
  ""methods"": [""Partial Correlation Coefficient""]
}",551
"{
  ""columns"": [""CS-301""],
  ""methods"": [""Mode""]
}",552
"{
  ""columns"": [""Overall"", ""Release Clause""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",553
"{
  ""columns"": [""Brazil"", ""India""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",554
"{
  ""columns"": [""Special"", ""Overall"", ""Value""],
  ""methods"": [""Partial Correlation Coefficient""]
}",555
"{
  ""columns"": [""activities"", ""internet"", ""famsup""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",556
"{""columns"": [""JUL""], ""methods"": [""Kurtosis""]}",557
"{
  ""columns"": [""Sports_activity"", ""Reading"", ""Sex""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",558
"{
  ""columns"": [""SHORTNESS OF BREATH"", ""LUNG_CANCER"", ""COUGHING""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",559
"{
  ""columns"": [""mileage(kmpl)"", ""engine(cc)""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",560
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",561
"{
  ""columns"": [""Duration"", ""Heart Rate""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",562
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",563
"{
  ""columns"": [""University Rating"", ""Research""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",564
"{
  ""columns"": [""avg_income""],
  ""methods"": [""Mean""]
}",565
"{
  ""columns"": [""avg_income"", ""median_income""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",566
"{
  ""columns"": [""JAN""],
  ""methods"": [""Mean""]
}",567
"{
  ""columns"": [""work_type"", ""hypertension""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Mantel-Haenszel Test""]
}",568
"{
  ""columns"": [""Attack method: Armed Assault""],
  ""methods"": [""Mean""]
}",569
"{
  ""columns"": [""EE-119""],
  ""methods"": [""Mode""]
}",570
"{
  ""columns"": [""work_year""],
  ""methods"": [""Median""]
}",571
"{
  ""columns"": [""Total"", ""Defense""],
  ""methods"": [""Variance Test"", ""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",572
"{
  ""columns"": [""United States"", ""Brazil""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",573
"{
  ""columns"": [""Education Level""],
  ""methods"": [""Mode""]
}",574
"{
  ""columns"": [""famsup"", ""nursery"", ""sex""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",575
"{""columns"": [""GRE Score"", ""SOP""], ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",576
"{
  ""columns"": [""SMOKING"", ""ALCOHOL CONSUMING"", ""GENDER""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",577
"{
  ""columns"": [""ANXIETY"", ""CHRONIC DISEASE"", ""SMOKING""],
  ""methods"": [""Mantel-Haenszel Test""]
}",578
"{
  ""columns"": [""famsup"", ""internet"", ""school""],
  ""methods"": [""Chi-square Independence Test"", ""Mantel-Haenszel Test""]
}",579
"{""columns"": [""Type of tree""], ""methods"": [""Mode""]}",580
"{
  ""columns"": [""parental level of education""],
  ""methods"": [""Mode""]
}",581
"{
  ""columns"": [""Height_m"", ""Pr_Male"", ""Sp_Def""],
  ""methods"": [""Partial Correlation Coefficient""]
}",582
"{
  ""columns"": [""NumStorePurchases"", ""Z_CostContact""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",583
"{""columns"": [""Nigeria"", ""Brazil""], ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]}",584
"{
  ""columns"": [""Heart Rate"", ""BMI""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",585
