extracted_answer,serial_number,task,results,relevant_column,ground_truth,dataset,refined_question,difficulty,methods_comparison_result,columns_comparison_result,methods_score,columns_score,selection_overall
"{
  ""columns"": [""Pstatus"", ""activities""],
  ""methods"": [""Chi-square Independence Test""]
}",481,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0136}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.01181}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""Pstatus"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""activities"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Pstatus"", ""activities""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Student Performance Prediction Dataset,Is there evidence of a relationship between parents' cohabitation status (living together or apart) and students' participation in extra-curricular activities in the data?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 1}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Weight"", ""Release Clause""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",482,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 1569.32197, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""Weight"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Release Clause"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Weight"", ""Release Clause""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",FIFA Official Dataset 2023,Is the variability in player weight comparable to that of the release clause value?,hard,"{""Correct"": 2, ""Wrong"": 2, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Gender"", ""MTRANS""],
  ""methods"": [""Chi-square Independence Test""]
}",483,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""Gender"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MTRANS"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Gender"", ""MTRANS""], ""methods"": [""Chi-square Independence Test""]}",Obesity or CVD Risk Dataset,Does a noticeable pattern exist in the association between gender and the mode of transportation utilized?,hard,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""SWALLOWING DIFFICULTY"", ""CHEST PAIN""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test"", ""Contingency Table Test""]
}",484,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.27192}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.25179}"", ""conclusion"": ""Independent""}]","[{""column_header"": ""SWALLOWING DIFFICULTY"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CHEST PAIN"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""SWALLOWING DIFFICULTY"", ""CHEST PAIN""], ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]}",Lung Cancer Survey Dataset,Is there any evidence to suggest a connection between the presence of symptoms related to difficulty swallowing and the presence of symptoms related to chest pain?,easy,"{""Correct"": 2, ""Wrong"": 1, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Calories Burn"", ""Heart Rate""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",485,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 15.14986, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 7172.04012, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""Calories Burn"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Heart Rate"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Calories Burn"", ""Heart Rate""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Exercise and Fitness Metrics Dataset,Do Calories Burn and Heart Rate exhibit similar variance characteristics?,hard,"{""Correct"": 2, ""Wrong"": 2, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Geography"", ""Exited""],
  ""methods"": [""Chi-square Independence Test""]
}",486,Contingency Table Test,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""Geography"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Exited"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Geography"", ""Exited""], ""methods"": [""Chi-square Independence Test""]}",Bank Customer Churn Prediction Dataset,Does the bank customer's location or country determine whether they have left the bank?,hard,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""std_satisfaction"", ""median_income""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",487,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","[{""column_header"": ""std_satisfaction"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""median_income"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""std_satisfaction"", ""median_income""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Income and Happiness Score Dataset,Is there statistical evidence to suggest that the distributions of self-reported happiness scores (measured by standard deviation) and individual income (measured by median income) are indistinguishable?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Number of trees sold"", ""Average Tree Price""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",488,Correlation Analysis,"[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.42857}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Number of trees sold"", ""Average Tree Price""], ""methods"": [""Kendall Correlation Coefficient""]}",US Christmas Tree Sales Dataset,What is the strength of the correlation between the number of Christmas trees purchased and the mean price at which each tree is sold?,hard,"{""Correct"": 1, ""Wrong"": 2, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Medu"", ""G1""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",489,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.26047}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.2764}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.21814}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""Medu"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""G1"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Medu"", ""G1""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Student Performance Prediction Dataset,Is there a relationship between the levels of mother's education and the first period grades (G1)?,easy,"{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""kms_driven"", ""mileage(kmpl)""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",490,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","[{""column_header"": ""kms_driven"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""mileage(kmpl)"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""kms_driven"", ""mileage(kmpl)""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Used Car Dataset,"Are the data distributions for total kilometers driven by the car and the car's mileage (in kilometers per liter, kmpl) statistically indistinguishable?",easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Death Age : 11-20""],
  ""methods"": [""Range""]
}",491,Descriptive Statistics,"[{""method"": ""Range"", ""result"": ""522.0"", ""conclusion"": ""522.0""}]","[{""column_header"": ""Death Age : 11-20 "", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Death Age : 11-20 ""], ""methods"": [""Range""]}",Terrorist Attacks Dataset,"How wide is the range of values for the variable ""Number of deaths of individuals aged between 11 and 20""?",easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Recency"", ""MntFruits""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",492,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.00431}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.0253}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.01706}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""Recency"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""MntFruits"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Recency"", ""MntFruits""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Customer Personality Analysis Dataset,What is the strength of the correlation between the number of days since a customer's last purchase (Recency) and the amount spent on fruits in the last 2 years (MntFruits)?,easy,"{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Year"", ""Nigeria"", ""India""],
  ""methods"": [""Kolmogorov-Smirnov Test for Normality"", ""Distribution Compliance Test""]
}",493,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.02857}"", ""conclusion"": ""Distribution significantly different""}]","[{""column_header"": ""Nigeria"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""India"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Nigeria"", ""India""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Crop Production Dataset,Do the annual crop production in Nigeria and India follow similar distribution curves?,easy,"{""Correct"": 0, ""Wrong"": 2, ""Missed"": 1}","{""Correct"": 2, ""Wrong"": 1, ""Missed"": 0}",0.0,0.0,0
"{
  ""columns"": [""WHEEZING"", ""SHORTNESS OF BREATH"", ""ANXIETY""],
  ""methods"": [""Chi-square Independence Test""]
}",494,Contingency Table Test,"[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.85429}"", ""conclusion"": ""Independent""}]","[{""column_header"": ""WHEEZING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""SHORTNESS OF BREATH"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""ANXIETY"", ""is_strata"": true, ""is_control"": false}]","{""columns"": [""WHEEZING"", ""SHORTNESS OF BREATH"", ""ANXIETY""], ""methods"": [""Mantel-Haenszel Test""]}",Lung Cancer Survey Dataset,Is there a significant variation in the impact of WHEEZING on SHORTNESS OF BREATH when considering the presence of ANXIETY symptoms?,easy,"{""Correct"": 0, ""Wrong"": 1, ""Missed"": 1}","{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Total Library Visitors"", ""# of Homeless Individuals Served at The Source""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",495,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.68409}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.62567}"", ""conclusion"": ""Strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.47348}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""Total Library Visitors"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""# of Homeless Individuals Served at The Source"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Total Library Visitors"", ""# of Homeless Individuals Served at The Source""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Los Angeles Library Monthly Statistics,What is the strength of the correlation between the total number of library visitors and the number of homeless individuals served at The Source?,easy,"{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""atlantaretail""],
  ""methods"": [""Kurtosis""]
}",496,Descriptive Statistics,"[{""method"": ""Kurtosis"", ""result"": ""2.59578"", ""conclusion"": ""2.59578""}]","[{""column_header"": ""atlantaretail"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""atlantaretail""], ""methods"": [""Kurtosis""]}",Fruits and Vegetables Prices Dataset,What is the kurtosis level of retail prices in Atlanta?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{""columns"": [""Newspaper Ad Budget ($)""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",497,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test for Exponential distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","[{""column_header"": ""Newspaper Ad Budget ($)"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Newspaper Ad Budget ($)""], ""methods"": [""Kolmogorov-Smirnov Test for Exponential distribution""]}",Advertising Budget and Sales Dataset,Could the Exponential distribution provide an accurate representation of the data for the budget allocated for newspaper advertising?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Cholesterol""],
  ""methods"": [""Median""]
}",498,Descriptive Statistics,"[{""method"": ""Median"", ""result"": ""223.0"", ""conclusion"": ""223.0""}]","[{""column_header"": ""Cholesterol"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Cholesterol""], ""methods"": [""Median""]}",Heart Failure Prediction Dataset,Could you calculate the median value of serum cholesterol (measured in mm/dl)?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""LOR""],
  ""methods"": [""Kurtosis""]
}",499,Descriptive Statistics,"[{""method"": ""Kurtosis"", ""result"": ""-0.66248"", ""conclusion"": ""-0.66248""}]","[{""column_header"": ""LOR "", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""LOR ""], ""methods"": [""Kurtosis""]}",Dataset for Admission in the University,"What is the level of kurtosis for the variable ""Letter of Recommendation"" - high or low?",easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""NCP"", ""CH2O""],
  ""methods"": [""Kolmogorov-Smirnov Test""]
}",500,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","[{""column_header"": ""NCP"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""CH2O"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""NCP"", ""CH2O""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Obesity or CVD Risk Dataset,Is there a statistically significant difference in the distribution of the number of main meals (NCP) compared to daily water consumption (CH2O)?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""RestingBP"", ""Cholesterol""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",501,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.10089}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.10948}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.07731}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""RestingBP"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Cholesterol"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""RestingBP"", ""Cholesterol""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Heart Failure Prediction Dataset,Are the patterns observed in resting blood pressure similarly evident in serum cholesterol levels?,easy,"{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""traveltime"", ""G3"", ""age""],
  ""methods"": [""Partial Correlation Coefficient""]
}",502,Correlation Analysis,"[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.12428, \""p value\"": 0.00153}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""traveltime"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""G3"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""age"", ""is_strata"": false, ""is_control"": true}]","{""columns"": [""traveltime"", ""G3"", ""age""], ""methods"": [""Partial Correlation Coefficient""]}",Student Performance Prediction Dataset,"What is the partial correlation between travel time and final grade, taking into account the age of the student?",easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Death Age 100+""],
  ""methods"": [""Skewness""]
}",503,Descriptive Statistics,"[{""method"": ""Skewness"", ""result"": ""18.42251"", ""conclusion"": ""18.42251""}]","[{""column_header"": ""Death Age 100+"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Death Age 100+""], ""methods"": [""Skewness""]}",Terrorist Attacks Dataset,Could you calculate the skewness of the distribution of ages at death for individuals aged 100 or above?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Average Tree Price"", ""Sales""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",504,Correlation Analysis,"[{""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.01099}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Average Tree Price"", ""Sales""], ""methods"": [""Kendall Correlation Coefficient""]}",US Christmas Tree Sales Dataset,Does a significant correlation exist between the typical cost of Christmas trees and the overall income derived from their sales during the holiday season?,hard,"{""Correct"": 1, ""Wrong"": 2, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Year"", ""Pakistan"", ""Myanmar""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",505,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 4.97968, \""p value\"": 0.06713}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 5.07889, \""p value\"": 0.02422}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 17.46659, \""p value\"": 0.00582}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""Pakistan"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Myanmar"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Pakistan"", ""Myanmar""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Crop Production Dataset,Do the annual crop production variances in Pakistan and Myanmar show statistical similarity?,easy,"{""Correct"": 4, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 1, ""Missed"": 0}",1.0,0.0,0
"{
  ""columns"": [""Age""],
  ""methods"": [""Standard Deviation""]
}",506,Descriptive Statistics,"[{""method"": ""Standard Deviation"", ""result"": ""7.59543"", ""conclusion"": ""7.59543""}]","[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Age""], ""methods"": [""Standard Deviation""]}",Salary Dataset by Job Title and Country,Can you calculate the standard deviation to measure the dispersion in age?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Total eMedia Circulation""],
  ""methods"": [""Quartile""]
}",507,Descriptive Statistics,"[{""method"": ""Quartile"", ""result"": ""\""{'Min': 159134.0, 'Q1': 308565.75, 'Median': 444394.0, 'Q3': 539345.25, 'Max': 755275.0}\"""", ""conclusion"": ""\""{'Min': 159134.0, 'Q1': 308565.75, 'Median': 444394.0, 'Q3': 539345.25, 'Max': 755275.0}\""""}]","[{""column_header"": ""Total eMedia Circulation"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Total eMedia Circulation""], ""methods"": [""Quartile""]}",Los Angeles Library Monthly Statistics,Could you calculate the quartile divisions for the total circulation of electronic media materials?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""goout""],
  ""methods"": [""Standard Deviation""]
}",508,Descriptive Statistics,"[{""method"": ""Standard Deviation"", ""result"": ""1.17486"", ""conclusion"": ""1.17486""}]","[{""column_header"": ""goout"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""goout""], ""methods"": [""Standard Deviation""]}",Student Performance Prediction Dataset,What is the measure of standard deviation for the variable representing the frequency of going out with friends?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Recency"", ""Z_Revenue""],
  ""methods"": [""Mann-Whitney U Test"", ""Kolmogorov-Smirnov Test""]
}",509,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","[{""column_header"": ""Recency"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Z_Revenue"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Recency"", ""Z_Revenue""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Customer Personality Analysis Dataset,Is there a significant difference in the frequency distribution of days since the customer's last purchase compared to the revenue (Z_Revenue)?,easy,"{""Correct"": 1, ""Wrong"": 1, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""GENDER"", ""ALCOHOL CONSUMING"", ""LUNG_CANCER""],
  ""methods"": [""Chi-square Independence Test""]
}",510,Contingency Table Test,"[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Not independent""}]","[{""column_header"": ""ALCOHOL CONSUMING"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""LUNG_CANCER"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""GENDER"", ""is_strata"": true, ""is_control"": false}]","{""columns"": [""ALCOHOL CONSUMING"", ""LUNG_CANCER"", ""GENDER""], ""methods"": [""Mantel-Haenszel Test""]}",Lung Cancer Survey Dataset,Does the impact of alcohol consumption on the presence of lung cancer exhibit varying patterns within different gender groups?,easy,"{""Correct"": 0, ""Wrong"": 1, ""Missed"": 1}","{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""North America"", ""Japan""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",511,Correlation Analysis,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.41674}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.03949}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.0285}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""North America"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Japan"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""North America"", ""Japan""], ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]}",Video Games Sales Dataset,Is there evidence of a linear correlation between the number of units sold in North America and Japan?,easy,"{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
